cbo,wmc,dit,rfc,lcom,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,Assertion Roulette,Eager Test,Conditional Test Logic,Verbose Test
5,6,1,4,0,0.0,0.0,6,2,5,1,0,0,5,0,0,0,5,1,3,0,0,2,5,0,2,72,5,0,0,0,0,1,0,5,1,5,0,0,1,0,64,17,0,0,0,1,0
33,62,1,95,521,0.0,0.0,34,7,18,11,2,3,23,0,0,0,10,6,0,8,0,2,8,0,88,205,33,1,1,6,0,56,3,22,7,26,2,0,0,7,257,1,6,0,1,1,0
8,22,1,32,7,0.0,0.0,14,0,9,0,5,0,14,0,0,0,13,2,0,12,1,0,2,0,3,84,10,0,3,0,0,9,1,17,2,16,1,0,0,3,135,1,1,1,1,0,0
11,20,1,26,25,0.0,0.0,10,10,10,0,0,0,11,0,0,0,3,3,0,3,0,0,2,0,9,54,11,3,1,2,0,5,0,3,2,3,3,0,0,1,173,1,2,1,0,0,0
23,17,2,26,41,0.0,0.0,10,2,6,3,1,0,7,0,0,0,7,5,2,4,0,1,5,0,17,107,9,0,2,2,0,11,1,13,1,13,2,0,3,0,112,1,1,1,1,0,0
7,19,1,16,0,0.0,0.0,9,0,9,0,0,0,9,0,0,0,1,0,0,1,0,0,1,0,8,45,7,1,0,0,3,9,0,1,3,1,3,0,0,0,106,1,0,1,1,0,0
13,53,2,55,21,0.0,0.0,11,2,1,9,0,1,2,0,0,0,10,4,0,5,5,0,4,0,13,134,29,2,10,3,2,46,4,21,0,26,3,0,1,7,341,1,10,1,0,1,1
16,9,1,15,0,0.0,0.0,6,0,5,0,0,1,6,0,0,0,9,1,0,9,0,0,9,0,9,39,1,0,1,0,0,4,1,10,0,10,1,0,0,0,79,1,2,1,1,0,0
42,49,2,56,190,0.0,0.0,24,0,20,2,1,1,22,0,0,0,16,1,9,7,0,0,14,0,18,185,17,5,5,0,0,17,2,29,2,27,3,1,0,0,298,1,7,1,1,0,0
8,12,1,12,0,0.0,0.0,6,0,5,0,0,1,6,0,0,0,1,0,0,1,0,0,1,0,1,39,6,2,2,0,0,2,4,11,5,10,2,0,0,0,57,1,0,1,1,1,1
6,9,1,7,0,0.0,0.0,6,0,5,1,0,0,5,0,0,0,3,0,0,2,0,1,3,0,1,32,4,2,0,0,0,3,0,4,2,4,2,0,0,0,91,1,0,1,1,1,0
6,22,3,24,0,0.0,0.0,17,0,15,1,0,1,16,0,0,0,2,1,0,2,0,0,2,0,1,139,13,2,2,0,0,0,0,7,0,7,1,0,3,1,48,1,0,1,1,1,1
9,12,1,20,10,0.0,0.0,5,5,2,2,0,1,3,0,0,0,1,1,0,1,0,0,1,0,4,43,5,6,0,0,0,3,0,10,0,9,3,0,0,0,61,1,3,1,0,0,0
11,13,1,29,4,0.0,0.0,4,4,1,2,0,1,2,0,0,0,1,1,0,1,0,0,1,0,6,48,4,7,1,0,0,0,3,14,1,13,3,0,0,1,156,1,0,0,0,0,0
9,60,1,51,103,0.0,0.0,23,2,23,0,0,0,23,0,0,0,32,17,16,16,0,0,32,0,26,216,28,4,9,1,3,45,8,61,3,59,2,0,0,0,198,1,1,1,1,1,1
6,5,2,8,0,0.0,0.0,4,2,3,1,0,0,3,0,0,0,1,0,0,1,0,0,1,0,1,52,4,0,0,0,0,0,2,2,0,2,1,1,1,0,10,1,0,1,0,0,0
26,32,1,48,0,0.0,0.0,12,0,9,3,0,0,9,0,0,0,12,1,4,8,0,0,7,0,9,132,4,4,4,1,0,16,3,24,4,19,5,0,0,1,163,1,7,1,1,1,1
22,17,3,27,20,0.0,0.0,8,0,6,0,1,1,8,0,0,0,5,1,2,3,0,0,5,0,11,66,4,0,3,0,1,17,2,13,4,13,1,0,0,0,92,1,5,1,1,0,1
18,27,3,34,83,0.0,0.0,14,1,12,2,0,0,12,0,0,0,6,5,3,3,0,0,6,0,9,130,13,9,0,1,10,3,17,30,11,24,3,1,1,0,124,1,0,0,0,0,0
9,25,2,19,136,0.0,0.0,17,3,15,0,2,0,17,0,0,0,0,0,0,0,0,0,0,0,5,81,19,3,1,0,3,8,1,9,2,8,2,1,0,0,86,1,0,1,1,0,0
28,51,4,63,71,0.0,0.0,14,1,2,9,0,3,5,0,0,0,8,2,0,8,0,0,8,0,11,249,14,12,1,0,5,7,11,39,3,33,6,0,4,1,221,1,3,1,1,0,1
6,38,1,44,13,0.0,0.0,11,0,3,3,5,0,8,2,0,0,1,0,0,1,0,0,1,0,7,148,19,7,2,0,0,3,17,38,7,28,3,0,1,1,116,1025,0,1,1,1,1
24,24,2,41,0,0.0,0.0,7,5,4,1,0,2,6,0,0,0,4,1,0,1,3,0,4,0,25,124,9,3,9,0,0,9,4,21,2,21,2,1,0,0,102,1,5,1,0,1,1
15,27,2,33,133,0.0,0.0,18,0,15,3,0,0,15,0,0,0,8,6,4,4,0,0,8,0,21,211,19,1,3,0,8,1,17,41,1,35,3,2,1,0,121,1,0,0,1,0,0
12,29,2,53,18,0.0,0.0,9,0,4,2,1,2,7,0,0,0,4,2,0,2,0,2,2,0,5,142,8,9,3,0,5,0,20,57,18,41,4,0,0,0,93,1,0,0,0,1,0
7,10,3,10,1,,,2,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,92,2,2,2,1,2,6,9,10,4,7,2,0,3,0,51,1,0,1,0,1,0
17,24,1,43,45,0.0,0.0,15,5,2,7,0,6,8,0,0,0,6,2,1,1,0,4,6,0,9,153,18,0,3,0,1,7,8,20,6,21,1,1,1,2,98,1,4,0,0,1,1
8,97,2,56,861,0.0,0.0,42,17,34,6,2,0,36,0,0,0,1,1,1,0,0,0,1,0,37,299,62,8,5,0,3,8,29,40,2,35,3,2,1,1,191,1,0,1,1,1,1
16,31,3,43,108,0.0,0.0,17,1,15,2,0,0,15,0,0,0,10,8,6,4,0,0,10,0,13,187,18,1,4,0,7,6,16,36,3,31,2,3,1,0,133,1,0,0,0,0,0
12,9,1,13,10,0.0,0.0,5,0,5,0,0,0,5,0,0,0,1,1,0,1,0,0,1,0,3,28,2,2,1,0,0,0,0,4,0,5,3,0,0,1,66,1,0,1,1,0,1
10,19,2,17,36,0.0,0.0,13,3,11,0,0,2,13,0,0,0,2,1,0,0,0,2,1,0,6,69,12,1,3,0,1,1,1,11,2,12,3,1,0,3,128,1025,0,1,1,1,1
23,70,2,69,244,0.0,0.0,29,0,21,8,0,0,21,0,0,0,16,4,1,15,0,0,8,0,21,220,28,7,16,0,2,4,22,59,6,46,2,2,0,3,169,1,0,0,1,0,1
5,27,1,25,24,0.0,0.0,12,4,9,2,0,1,10,0,0,0,3,1,3,0,0,0,3,0,11,64,12,0,11,0,1,12,13,7,6,8,2,0,0,1,72,1,0,1,1,0,0
20,15,2,26,0,0.0,0.0,7,1,6,1,0,0,6,0,0,0,3,2,0,3,0,0,3,0,8,48,4,1,2,0,0,5,1,13,1,13,2,0,0,0,92,1,2,1,1,1,1
13,23,3,27,5,0.0,0.0,6,1,4,2,0,0,4,0,0,0,9,3,0,9,0,0,7,0,8,69,11,0,10,1,0,13,0,16,1,14,3,0,0,0,74,1,2,0,0,0,0
12,25,1,15,27,0.0,0.0,10,1,8,1,0,1,9,0,0,0,4,1,0,4,0,0,4,0,3,63,1,0,7,1,0,3,0,8,0,7,2,0,0,0,77,1,3,0,0,0,0
42,175,1,160,649,0.0,0.0,71,5,63,8,0,0,63,0,0,0,14,1,1,13,0,0,11,0,32,850,58,34,31,40,10,29,17,84,13,71,5,1,1,2,382,1,11,1,1,1,1
10,36,3,50,22,0.0,0.0,9,3,7,2,0,0,7,0,0,0,6,5,1,5,0,0,3,0,13,117,8,3,7,3,0,22,10,32,7,28,3,1,0,0,165,1,4,0,0,0,0
27,18,6,29,0,0.0,0.0,12,7,6,0,0,6,12,0,2,0,2,0,0,2,0,0,2,0,8,140,12,2,1,0,0,2,0,16,1,10,3,0,6,0,288,1025,0,1,0,0,1
22,37,2,64,48,0.0,0.0,13,1,9,2,2,0,11,0,0,0,4,2,1,3,0,0,4,0,11,155,8,5,10,0,1,11,11,40,4,40,3,0,1,3,189,1,3,1,1,1,1
9,20,1,23,1,0.0,0.0,7,2,5,0,0,2,7,0,2,0,8,4,0,8,0,0,8,0,6,96,11,5,6,0,0,0,5,23,0,28,2,0,0,4,68,1,0,1,1,0,0
8,9,1,17,0,0.0,0.0,3,1,3,0,0,0,3,0,0,0,2,1,0,2,0,0,2,0,1,56,2,0,4,1,1,0,5,17,1,15,2,0,0,1,82,1,0,0,1,1,0
12,15,2,19,10,0.0,0.0,9,2,7,0,0,2,9,0,0,0,8,3,0,8,0,0,4,0,2,103,0,0,0,0,1,5,0,11,0,9,1,0,1,0,146,1,2,1,0,0,0
27,35,1,64,8,0.0,0.0,16,1,8,4,0,4,12,0,0,0,16,6,0,15,0,1,14,0,16,245,9,1,7,1,1,17,8,35,4,32,2,0,2,1,285,1,6,1,1,0,0
5,2,1,3,0,,,1,0,1,0,0,0,1,0,0,0,5,1,5,0,0,0,5,0,0,70,0,0,0,0,0,2,0,5,1,5,1,0,1,0,16,1,0,1,1,0,0
8,23,1,11,89,0.0,0.0,18,0,14,4,0,0,14,0,0,0,8,0,6,2,0,0,8,0,1,85,16,3,2,0,0,0,3,16,0,13,1,1,0,0,62,17,0,0,1,1,1
7,6,1,7,9,0.0,0.0,6,3,5,0,1,0,6,0,0,0,1,0,1,0,0,0,1,0,1,55,3,0,0,0,0,1,1,2,2,2,0,0,2,0,100,1025,0,1,0,1,1
11,22,2,30,9,0.0,0.0,10,1,10,0,0,0,10,0,0,6,8,2,0,7,1,0,5,0,3,84,7,2,6,1,0,2,3,21,0,16,3,1,0,0,94,1,1,1,1,1,1
4,7,1,4,0,0.0,0.0,6,0,2,0,0,4,6,0,0,0,4,1,1,0,0,3,4,0,0,33,6,0,1,0,2,2,0,5,2,5,1,0,0,0,45,1,0,1,1,0,0
7,3,1,6,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,19,2,0,0,0,0,0,0,6,0,4,0,0,0,0,24,0,0,1,1,0,0
9,6,1,16,3,0.0,0.0,3,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,35,2,3,0,0,0,0,1,15,0,12,1,0,0,0,27,0,0,0,0,1,0
9,42,1,31,153,0.0,0.0,26,1,17,2,0,7,24,0,0,0,6,2,1,4,1,0,3,0,7,126,23,3,6,0,5,3,3,22,1,18,2,0,0,1,94,1,0,0,0,1,0
2,8,1,1,0,0.0,0.0,5,0,4,1,0,0,4,0,0,0,5,0,0,5,0,0,1,0,0,29,3,0,1,0,0,0,4,11,2,5,1,0,0,0,18,0,0,0,1,0,1
19,63,1,70,229,0.0,0.0,27,2,22,5,0,0,22,0,0,0,15,10,4,10,1,0,13,0,14,221,23,9,12,2,2,47,13,46,12,42,3,0,0,1,160,1,12,0,1,0,1
4,13,1,12,0,0.0,0.0,7,1,1,1,0,5,6,0,0,1,5,1,0,5,0,0,3,0,4,52,6,0,1,0,1,4,5,10,3,8,2,0,0,0,55,0,3,0,1,0,1
48,349,1,272,3576,0.0,0.0,109,7,68,23,4,14,87,0,0,2,33,15,5,19,0,9,27,0,120,1177,100,34,76,6,20,97,65,230,32,201,5,1,2,9,725,1,78,1,1,1,1
4,8,1,11,2,0.0,0.0,4,0,3,0,0,1,4,0,0,1,4,1,0,4,0,0,3,0,0,31,1,1,0,0,0,5,1,7,1,6,2,0,0,0,60,1,3,1,1,1,0
8,17,1,26,0,0.0,0.0,7,1,3,2,0,2,5,0,0,0,9,3,0,9,0,0,8,0,4,101,1,2,3,3,0,11,5,14,1,13,5,0,2,3,125,1,8,1,1,1,1
