App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
ExoPlayer,TeeAudioProcessorTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/audio/TeeAudioProcessor.java,58,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExoPlayer,DefaultDrmSessionManagerTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/drm/DefaultDrmSessionManager.java,264,11,15,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,6
ExoPlayer,OfflineLicenseHelperTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/drm/OfflineLicenseHelper.java,192,16,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2
ExoPlayer,ClearKeyUtilTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/drm/ClearKeyUtil.java,138,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ExoPlayer,DefaultMediaClockTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/DefaultMediaClock.java,463,43,17,27,0,0,7,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,16
ExoPlayer,DefaultTrackSelectorTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/trackselection/DefaultTrackSelector.java,1872,93,43,54,0,0,3,0,0,23,0,0,2,0,0,14,0,0,25,0,0,0,33
ExoPlayer,MappingTrackSelectorTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/trackselection/MappingTrackSelector.java,198,16,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3
ExoPlayer,TrackSelectorTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/trackselection/TrackSelector.java,78,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
ExoPlayer,AdaptiveTrackSelectionTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/trackselection/AdaptiveTrackSelection.java,678,26,36,8,0,0,0,0,0,3,0,0,1,0,0,6,0,0,4,0,0,0,5
ExoPlayer,MediaPeriodQueueTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/MediaPeriodQueue.java,568,41,10,0,0,0,0,0,0,2,0,0,5,0,0,3,0,0,0,0,0,0,1
ExoPlayer,SimpleExoPlayerTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/SimpleExoPlayer.java,82,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ExoPlayer,PlaybackStatsListenerTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/analytics/PlaybackStatsListener.java,213,11,9,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
ExoPlayer,AnalyticsCollectorTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/analytics/AnalyticsCollector.java,2354,56,287,2,0,0,1,0,0,0,5,0,0,0,0,13,0,0,0,0,0,0,0
ExoPlayer,DefaultPlaybackSessionManagerTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/analytics/DefaultPlaybackSessionManager.java,1160,37,32,28,0,0,14,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,5
ExoPlayer,UriUtilTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/util/UriUtil.java,137,8,49,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,2
ExoPlayer,TimedValueQueueTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/util/TimedValueQueue.java,132,11,32,9,0,0,0,0,0,9,2,0,0,0,0,0,0,0,4,0,0,0,5
ExoPlayer,RunnableFutureTaskTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/util/RunnableFutureTask.java,302,13,10,4,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,4
ExoPlayer,MutableFlagsTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/common/src/main/java/com/google/android/exoplayer2/util/MutableFlags.java,140,9,19,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6
ExoPlayer,IntArrayQueueTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/util/IntArrayQueue.java,140,9,11,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,1,0,1,6
ExoPlayer,ColorParserTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/util/ColorParser.java,99,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
