App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
fresco,WebpBitmapFactoryTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/webp/WebpBitmapFactory.java,276,23,0,0,0,0,8,0,0,16,4,0,2,1,0,0,0,0,0,0,0,0,0
fresco,DraweeSpanStringBuilderTest,/home/luana-martins/.jnose_projects/fresco/drawee-span/src/main/java/com/facebook/drawee/span/DraweeSpanStringBuilder.java,104,15,6,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1
fresco,DraweeSpanTest,/home/luana-martins/.jnose_projects/fresco/drawee-span/src/main/java/com/facebook/drawee/span/DraweeSpan.java,58,7,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fresco,PooledByteStreamsTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/memory/PooledByteStreams.java,109,13,4,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,2,0,0,1
fresco,PooledByteArrayBufferedInputStreamTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/memory/PooledByteArrayBufferedInputStream.java,161,15,16,3,0,0,1,0,0,18,3,0,2,0,0,0,0,0,0,0,0,0,2
fresco,PooledByteBufferInputStreamTest,/home/luana-martins/.jnose_projects/fresco/fbcore/src/main/java/com/facebook/common/memory/PooledByteBufferInputStream.java,155,17,36,5,0,0,0,0,0,24,2,0,1,0,0,0,0,0,2,0,0,0,4
fresco,ProducerToDataSourceAdapterTest,/home/luana-martins/.jnose_projects/fresco/imagepipeline/src/main/java/com/facebook/imagepipeline/datasource/ProducerToDataSourceAdapter.java,387,58,0,0,0,0,27,0,0,0,9,0,10,5,0,0,0,0,0,0,0,0,0
fresco,ListDataSourceTest,/home/luana-martins/.jnose_projects/fresco/imagepipeline/src/main/java/com/facebook/imagepipeline/datasource/ListDataSource.java,191,31,2,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0
fresco,CloseableProducerToDataSourceAdapterTest,/home/luana-martins/.jnose_projects/fresco/imagepipeline/src/main/java/com/facebook/imagepipeline/datasource/CloseableProducerToDataSourceAdapter.java,419,61,0,0,0,0,27,0,0,0,9,0,11,5,0,0,0,0,0,0,0,0,0
fresco,ImagePipelineTest,/home/luana-martins/.jnose_projects/fresco/imagepipeline/src/main/java/com/facebook/imagepipeline/core/ImagePipeline.java,541,44,54,0,0,0,8,0,0,0,0,0,10,0,0,0,0,0,2,0,0,0,8
